Run,GPS_code,Site,Treatment,salvia left,encelia_left,bromus_left,brassica_left,Total_eaten,Day_set_out,Day_collected,Days_Out,Notes
Ma25,May22_S4,4,C,20,20,20,20,0,5/22/2018,5/23/2018,1,
Ma25,May22_S4,4,A+,20,20,20,19,1,5/22/2018,5/23/2018,1,
Ma25,May22_S4,4,BR+,17,19,20,16,8,5/22/2018,5/23/2018,1,
Ma25,May22_S5,5,C,20,20,20,19,1,5/22/2018,5/24/2018,2,
Ma25,May22_S5,5,A+,18,20,20,17,5,5/22/2018,5/24/2018,2,
Ma25,May22_S5,5,BR+,16,17,19,17,11,5/22/2018,5/24/2018,2,
Ma25,May22_S6,6,C,20,20,20,19,1,5/22/2018,5/23/2018,1,
Ma25,May22_S6,6,A+,20,19,19,18,4,5/22/2018,5/23/2018,1,
Ma25,May22_S6,6,BR+,0,4,3,1,72,5/22/2018,5/23/2018,1,
Ju4,June7_S1,1,C,20,21,20,20,-1,6/5/2018,6/7/2018,2,
Ju4,June7_S1,1,A+,3,20,19,19,19,6/5/2018,6/7/2018,2,
Ju4,June7_S1,1,BR+,20,19,20,20,1,6/5/2018,6/7/2018,2,
Ju4,June7_S2,2,C,20,20,20,20,0,6/5/2018,6/7/2018,2,
Ju4,June7_S2,2,A+,20,20,20,20,0,6/5/2018,6/7/2018,2,
Ju4,June7_S3,3,C,20,20,20,20,0,6/5/2018,6/8/2018,3,
Ju4,June7_S3,3,A+,20,19,20,19,2,6/5/2018,6/8/2018,3,
Ju4,June7_S3,3,BR+,19,20,20,19,2,6/5/2018,6/8/2018,3,
Ju4,June7_S4,4,C,20,20,20,20,0,6/5/2018,6/8/2018,3,
Ju4,June7_S4,4,A+,20,20,20,17,3,6/5/2018,6/8/2018,3,
Ju4,June7_S5,5,C,20,20,20,19,1,6/5/2018,6/7/2018,2,
Ju4,June7_S5,5,A+,20,20,20,20,0,6/5/2018,6/7/2018,2,
Ju4,June7_S5,5,BR+,8,11,12,20,29,6/5/2018,6/7/2018,2,
Ju4,June7_S6,6,C,20,20,20,20,0,6/5/2018,6/8/2018,3,
Ju4,June7_S6,6,A+,18,21,20,20,1,6/5/2018,6/8/2018,3,
Ju4,June7_S6,6,BR+,18,18,19,18,7,6/5/2018,6/8/2018,3,
Ju18,June18_S1,1,C,19,19,19,19,4,6/18/2018,6/19/2018,1,
Ju18,June18_S1,1,A+,20,19,19,20,2,6/18/2018,6/19/2018,1,
Ju18,June18_S1,1,BR+,11,8,15,0,46,6/18/2018,6/19/2018,1,
Ju18,June18_S2,2,C,20,20,20,20,0,6/18/2018,6/20/2018,2,
Ju18,June18_S2,2,A+,20,20,20,20,0,6/18/2018,6/20/2018,2,
Ju18,June18_S2,2,BR+,1,1,2,0,76,6/18/2018,6/20/2018,2,
Ju18,June18_S3,3,C,20,20,20,20,0,6/18/2018,6/20/2018,2,
Ju18,June18_S3,3,A+,20,20,20,20,0,6/18/2018,6/20/2018,2,
Ju18,June18_S3,3,BR+,16,10,17,11,26,6/18/2018,6/20/2018,2,
Ju18,June18_S4,4,C,20,19,20,20,1,6/18/2018,6/19/2018,1,
Ju18,June18_S4,4,A+,19,19,20,19,3,6/18/2018,6/19/2018,1,
Ju18,June18_S4,4,BR+,0,3,1,0,76,6/18/2018,6/19/2018,1,
Ju18,June18_S5,5,C,20,19,20,20,1,6/18/2018,6/19/2018,1,
Ju18,June18_S5,5,A+,20,20,20,20,0,6/18/2018,6/19/2018,1,
Ju18,June18_S5,5,BR+,14,16,19,2,29,6/18/2018,6/19/2018,1,
Ju18,June18_S6,6,C,20,20,20,20,0,6/18/2018,6/19/2018,1,
Ju18,June18_S6,6,A+,20,20,20,20,0,6/18/2018,6/19/2018,1,
Ju18,June18_S6,6,BR+,6,11,18,1,44,6/18/2018,6/19/2018,1,
Au28,Aug27_S1,1,C,20,21,20,20,-1,8/27/2018,8/30/2018,3,
Au28,Aug27_S1,1,BR+,20,20,20,16,4,8/27/2018,8/30/2018,3,
Au28,Aug27_S2,2,C,20,20,20,20,0,8/27/2018,8/30/2018,3,
Au28,Aug27_S2,2,A+,12,19,20,11,18,8/27/2018,8/30/2018,3,
Au28,Aug27_S2,2,BR+,16,19,20,11,14,8/27/2018,8/30/2018,3,
Au28,Aug27_S3,3,C,20,20,20,20,0,8/27/2018,8/28/2018,1,
